ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
102/02/19,"22,103,657","2,372,380,213",108.50,108.50,106.50,107.00, 0.00,"6,114"
102/02/20,"41,921,556","4,558,604,798",108.50,109.50,108.00,109.00,+2.00,"10,171"
102/02/21,"30,551,806","3,287,642,271",108.50,108.50,107.00,107.00,-2.00,"7,485"
102/02/22,"39,577,666","4,188,440,636",106.00,106.50,105.00,105.50,-1.50,"10,313"
102/02/23,"10,174,533","1,083,855,709",106.50,107.50,106.00,107.00,+1.50,"3,022"
102/02/25,"37,216,683","3,938,987,715",106.50,107.00,105.00,105.00,-2.00,"8,564"
102/02/26,"38,498,610","4,006,611,594",103.50,105.00,102.50,103.50,-1.50,"9,572"
102/02/27,"81,358,059","8,385,327,394",102.00,104.50,101.00,104.50,+1.00,"13,654"
102/03/01,"35,081,170","3,651,664,826",103.00,105.00,102.50,105.00,+0.50,"9,263"
102/03/04,"55,265,946","5,652,060,892",104.50,104.50,101.50,102.00,-3.00,"11,896"
102/03/05,"56,213,527","5,798,480,893",103.50,104.00,102.50,104.00,+2.00,"9,603"
102/03/06,"38,026,322","3,944,092,785",104.00,104.50,103.00,104.00, 0.00,"6,844"
102/03/07,"20,783,572","2,150,594,416",103.50,104.00,103.00,103.00,-1.00,"6,812"
102/03/08,"46,036,003","4,753,123,583",103.00,104.50,102.00,103.50,+0.50,"8,598"
102/03/11,"36,093,271","3,706,837,142",102.00,104.00,102.00,102.00,-1.50,"9,071"
102/03/12,"30,064,912","3,075,447,024",102.00,103.00,101.50,102.50,+0.50,"6,294"
102/03/13,"57,955,306","6,009,069,324",102.50,105.00,102.00,104.50,+2.00,"9,978"
102/03/14,"33,067,465","3,435,727,588",104.00,104.50,103.00,104.00,-0.50,"7,022"
102/03/15,"35,632,988","3,696,617,211",105.00,105.00,103.00,103.00,-1.00,"6,030"
102/03/18,"44,188,807","4,472,705,507",102.00,102.00,100.50,100.50,-2.50,"11,128"
102/03/19,"50,765,167","5,104,261,200",101.00,101.50,99.60,100.00,-0.50,"11,099"
102/03/20,"64,024,225","6,344,606,455",99.50,99.50,98.80,98.80,-1.20,"13,861"
102/03/21,"58,467,748","5,799,884,434",98.80,100.50,98.70,98.70,-0.10,"13,448"
102/03/22,"44,937,030","4,420,118,840",98.60,99.10,98.00,98.00,-0.70,"12,072"
102/03/25,"25,469,505","2,540,453,602",99.90,100.50,99.20,99.50,+1.50,"7,606"
102/03/26,"27,220,058","2,698,733,342",99.20,99.40,98.80,99.00,-0.50,"8,019"
102/03/27,"29,969,023","2,992,059,750",99.00,100.50,98.80,100.50,+1.50,"7,304"
102/03/28,"29,558,310","2,945,126,900",100.00,100.50,99.30,100.00,-0.50,"7,232"
102/03/29,"19,003,253","1,907,250,000",100.00,101.00,99.80,100.50,+0.50,"5,024"
102/04/01,"16,374,716","1,657,592,413",101.00,102.00,100.50,101.00,+0.50,"4,450"
102/04/02,"22,334,113","2,242,499,100",100.50,101.00,99.80,100.50,-0.50,"6,500"
102/04/03,"27,097,381","2,731,161,500",101.50,101.50,100.00,100.50, 0.00,"6,886"
102/04/08,"58,367,917","5,768,632,279",99.00,99.50,98.50,98.50,-2.00,"11,496"
102/04/09,"41,316,418","4,045,349,536",98.00,98.50,97.50,97.50,-1.00,"10,389"
102/04/10,"36,746,778","3,604,766,222",98.80,98.80,97.70,98.30,+0.80,"7,197"
102/04/11,"57,867,486","5,799,700,086",99.00,101.50,98.80,101.50,+3.20,"12,430"
102/04/12,"19,568,004","1,968,624,772",101.50,101.50,100.00,100.50,-1.00,"5,602"
102/04/15,"23,440,616","2,343,267,705",100.50,101.00,99.10,99.40,-1.10,"6,275"
102/04/16,"35,918,924","3,576,311,040",98.20,101.00,98.20,100.50,+1.10,"8,309"
102/04/17,"35,897,101","3,598,786,346",101.50,101.50,99.70,100.00,-0.50,"7,663"
102/04/18,"33,083,804","3,316,064,572",100.00,101.00,99.40,99.90,-0.10,"7,209"
102/04/19,"66,950,314","7,110,036,743",105.50,106.50,105.50,106.50,+6.60,"15,197"
102/04/22,"72,502,228","7,859,371,624",108.50,109.50,107.50,108.50,+2.00,"16,146"
102/04/23,"46,146,072","4,903,358,892",106.50,107.50,105.50,106.00,-2.50,"10,405"
102/04/24,"35,495,750","3,753,132,000",106.50,107.00,104.50,106.00, 0.00,"10,908"
102/04/25,"26,287,666","2,792,181,370",106.00,107.00,105.50,107.00,+1.00,"7,044"
