Date,Open,High,Low,Close,Adj Close,Volume
2023/01/17,"3,999.28","4,015.39","3,984.57","3,990.97","3,990.97","4,235,560,000"
2023/01/18,"4,002.25","4,014.16","3,926.59","3,928.86","3,928.86","4,298,710,000"
2023/01/19,"3,911.84","3,922.94","3,885.54","3,898.85","3,898.85","3,991,500,000"
2023/01/20,"3,909.04","3,972.96","3,897.86","3,972.61","3,972.61","4,013,360,000"
2023/01/23,"3,978.14","4,039.31","3,971.64","4,019.81","4,019.81","3,945,210,000"
2023/01/24,"4,001.74","4,023.92","3,989.79","4,016.95","4,016.95","3,320,430,000"
2023/01/25,"3,982.71","4,019.55","3,949.06","4,016.22","4,016.22","3,724,020,000"
2023/01/26,"4,036.08","4,061.57","4,013.29","4,060.43","4,060.43","3,809,590,000"
2023/01/27,"4,053.72","4,094.21","4,048.70","4,070.56","4,070.56","3,907,760,000"
2023/01/30,"4,049.27","4,063.85","4,015.55","4,017.77","4,017.77","3,802,000,000"
2023/01/31,"4,020.85","4,077.16","4,020.44","4,076.60","4,076.60","4,679,320,000"
2023/02/01,"4,070.07","4,148.95","4,037.20","4,119.21","4,119.21","4,856,930,000"
2023/02/02,"4,158.68","4,195.44","4,141.88","4,179.76","4,179.76","5,624,360,000"
2023/02/03,"4,136.69","4,182.36","4,123.36","4,136.48","4,136.48","4,694,510,000"
2023/02/06,"4,119.57","4,124.63","4,093.38","4,111.08","4,111.08","4,114,240,000"
2023/02/07,"4,105.35","4,176.54","4,088.39","4,164.00","4,164.00","4,355,860,000"
2023/02/08,"4,153.47","4,156.85","4,111.67","4,117.86","4,117.86","4,029,820,000"
2023/02/09,"4,144.25","4,156.23","4,069.67","4,081.50","4,081.50","4,270,200,000"
2023/02/10,"4,068.92","4,094.36","4,060.79","4,090.46","4,090.46","3,891,520,000"
2023/02/13,"4,096.62","4,138.90","4,092.67","4,137.29","4,137.29","3,448,620,000"
2023/02/14,"4,126.70","4,159.77","4,095.01","4,136.13","4,136.13","3,929,200,000"
2023/02/15,"4,119.50","4,148.11","4,103.98","4,147.60","4,147.60","4,075,980,000"
2023/02/16,"4,114.75","4,136.54","4,089.49","4,090.41","4,090.41","4,143,660,000"
2023/02/17,"4,077.39","4,081.51","4,047.95","4,079.09","4,079.09","4,045,480,000"
2023/02/21,"4,052.35","4,052.35","3,995.19","3,997.34","3,997.34","4,121,590,000"
